Feature question in English	Value set	Clarifying comments to outsiders (from the proposal by Jeremy, Hannah and Hedvig)	Value	Suggested standardised comments in dropdown menu form	Source	Comment	Relevant unit(s)	Function	Formal means	Standardised comments list	Feature_ID	Feature Domain	Contributed_Datapoints
Can recipients be treated as a transitive object, i.e. as Direct Object?	1: present, 0: absent	F105 is concerned with both agreement on the verb and constituent marking (constituent marking = marking on the constituent that refers to the role the constituent has to the predicate, i.e. both adpositions (F76-77) and case (F71-73)). A ‘yes’ in F105 is firstly triggered by constituent marking. If there is no constituent marking of DO in the language whatsoever verbal marking is considered. See F287-F90 for further subdivisions of this feature.	1		Souag (2010:311); Souag (2015:236); Lameen Souag (p.c. 2023)	Recipients/benefactives usually take the prepositional dative marker 'i'. Some ditransitive verbs do allow the recipient to be encoded without prepositional dative marker 'I', yielding a double object construction, e.g. the verb for 'teach (by memorization)'.	noun, NP, case marker, verb, bound person form	argument marking - oblique, argument marking - core	declension, conjugation, agreement, bound person marking, phonologically independent item	1	GB105		JR
Are there syntactically ditransitive verbs?	1: present, 0: absent	Are there verbs that can take three arguments without resorting to additional clauses, adpositional phrases or other constructions? If the only instance of a potential ditransitive is ‘give’, and a particular subset of give, than F106 should be answered no (0). Multiple topic constructions of the kind in Sino-Tibetan languages also do not qualify for a yes (1) in F106.	0		Souag (2010:355)		verb	verb classification, argument marking - oblique	paradigm	2	GB106		
Is negation marked morphologically on the verb?	1: present, 0: absent	"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood. ""On the verb"" here means that the marker has to form a phonological unit with the root. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. Auxiliaries are also included in ""verbs""."	0		Souag (2010:437)	For negative imperatives, the verb stem changes from the intensive to the aorist. As this is not the default negation, I answered 0.	verb, negator	negation	conjugation	2	GB107		
Can locative or direction be morphologically marked on the verb?	1: present, 0: absent	"Serial-verb-constructions that include a marker of location (verbs meaning ""go"") do not count here."	0		Souag (2010:1-519)		verb, bound person form	argument marking - oblique	affixation and cliticization, bound person marking, conjugation	2	GB108		
Are there suppletive verbs for number of participants?	1: present, 0: absent	"Please do note that ""number of participants"" need not be the same as number of the NPs that are the arguments of the verb, i.e ""people"" can be marked as singular even though it is semantically plural. Auxiliaries are also included in ""verbs""."	0		Vycichl (2005:1-258)	Using the root and pattern system, there is no strong suppletion as long as the root consonants remain the same.	verb	number	suppletion	2	GB109		
Are there suppletive verbs for tense or aspect?	1: present, 0: absent		0		Vycichl (2005:1-258)	Using the root and pattern system, there is no strong suppletion as long as the root consonants remain the same.	verb	TAM	suppletion	3	GB110		
Are there conjugation classes?	1: present, 0: absent	"Are there different groups of verbs that take different finiteness markers. This could also be two groups of ""regular"" and ""irregular""."	1		Vycichl (2005:231-240)		verb	verb classification, TAM, person, argument marking - core, argument marking - oblique	paradigm	3	GB111		
Are there (several) verbs which can be used either transitively or intransitively with no morphological marking?	1: present, 0: absent	In order for a 'yes'(1) here it needs to be true of more than two verbal roots.	1		Souag (2010:360)		verb	verb classification, derivation, argument marking - core	none	2	GB112		
Is there transitivising morphology (include clitics)?	1: present, 0: absent	"Is there morphology that increases the valency from 1 to 2, i.e. makes an intransitive verb transitive? Markers that increase the valency of already transitive verbs do not count (instrumental and benefactives), nor do causatives (2 -> 3). Here is an example from Tok Pisin:""mi silip long graun"" for ""I am sleeping on the ground"" versus ""mi silipim ston long graun"" for ""I put the stone on the ground""."	1		Vycichl (2005:239); Souag (2013:177); Lameen Souag (p.c. 2023)	Causative is morphologically marked on the verb with prefix 's-'.	verb	derivation, valency change, causative	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB113		JR
Is there morphology (include clitics) to mark a reflexive action?	1: present, 0: absent	This feature pertains to bound verbal marking. Phonologically independent elements do not count here, nor does coreference of person or number with the subject.	0		Vycichl (2005:221); Souag (2013:247, 258); Lameen Souag (p.c. 2023)	Siwi has phonologically independent reflexive pronouns.	verb	derivation, valency change	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB114		JR
Is there morphology (include clitics) to mark a reciprocal action?	1: present, 0: absent	This feature pertains to bound verbal marking. Phonologically independent elements do not count here, nor does coreference of person or number with the subject.	0		Vycichl (2005:in passim); Lameen Souag (p.c. 2023)		verb	derivation, valency change	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB115		JR
Do verbs classify the shape, size, consistency or position of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	1: present, 0: absent	This questions aims at capturing verbal classifier systems, these systems are not based on agreement with the noun class system (Aikhenvald 2000:149). The system can however be identical or very similar to the possessive, numeral or demonstrative classifier systems.	0		Vycichl (2005:1-258)		classifier, noun, verb	nominal classification	affixation and cliticization, agreement, suppletion, compounding and incorporation, conjugation	4	GB116		
Is there a copula for predicate nominals?	1: present, 0: absent	This linker does not have to be a finite verb, it could be a demonstrative.	0		Vycichl (2005:254)		demonstrative, copula, verb, auxiliary	predication	phonologically independent item	4	GB117		
Are there serial verb constructions?	1: present, 0: absent	Serial verbs are two or more verbs in juxtaposition, functioning as a single predicate, with no morphology to mark their relationship with each other. Each of the verbs is a separate phonological word but the construction as a whole is expressed in one intonational unit. Morphology is shared to a greater or lesser extent. Serial verbs are different from clause-chaining because the verbs involved in clause-chaining lack finiteness and cannot occur independently in that form whereas serial verbs take the appropriate finiteness marking. Serial verbs are different from compounds because they can each take their own arguments whereas the roots of a compound share arguments.	0		Vycichl (2005:1-258)		verb, serial verb construction	predication	specialized construction	3	GB118		
Is verb compounding a regular process?	1: present, 0: absent	Verbal compounding is two or more verb stems acting as one phonological and grammatical word. Verb compounds share the same arguments. Languages with serial verbs can often have verb compounds too, however they might not always be described as such.	0		Vycichl (2005:1-258)		verb	predication, derivation	specialized construction, compounding and incorporation	2	GB122		
Are there verb-adjunct (aka light-verb) constructions?	1: present, 0: absent	"This question concerns constructions involving a non-predicating element expressing the lexical meaning of the construction, in conjunction with a semantically fairly empty verb, which enables the element to function as a predicate by providing the necessary morphology, e.g. 'eye do' for 'see'; or 'sneeze hit' for 'sneeze'. Exclude constructions that fall into the categories of verb compounding, clause-chaining, auxiliaries and serial verbs are excluded from the category of ""light-verb"". The verb needs to be sufficiently productive, it cannot only concern a few instances. It is uninteresting whether the predicating element is of nominal/verbal/other root. This means for example that what is described in the literature as ""co-verb constructions"" most likely are a subcategory of light verbs. It is also uninteresting for the definition of light-verbs whether or not the non-finite predicating element can occur outside the construction or not, both scenarios are acceptable. The category of light verbs cannot all consist of constructions describing states, there has to be at least a few dynamic events. There should also be instances where it is hard to define whether the non-finite predicating element (adjunct) is clearly nominal or not."	1		Lameen Souag (p.c. 2023)	Siwi has a limited number of light-verb constructions.	verb, noun, auxiliary?	predication, derivation	specialized construction	1	GB123		JR
Is incorporation of nouns into verbs a productive intransitivizing process?	1: present, 0: absent	"Can transitive verbs become intransitive by means of noun incorporation, and is this process productive? This need not be the default productive way of intransitivizing nouns, but the process needs to be productive. The incorporated noun is the direct object of the verb. For example: ""he was painting the bike"" = ""he was bike-painting"". Noun incorporation where the noun is acting as modifier do not count, such as ""she was running like Jacob runs"" = ""she was Jacob-running"". If it is necessary to still overtly mark the direct object, for example with a pronoun that this does not count."	0		Vycichl (2005:1-258)		noun, verb	valency change, derivation	specialized construction, compounding and incorporation	2	GB124		
Is there productive incorporation of non-nominal elements (adjectives, locatives, etc.) into verbs?	1: present, 0: absent	"This question does not concern grammatical LOC-marking on verbs, but the incorporation of lexical items. Auxiliaries are also included in ""verbs""."	0		Vycichl (2005:1-258)		verb, adjective, other lexeme	derivation	specialized construction, compounding and incorporation	2	GB125		
Is there one or more existential verb?	1: present, 0: absent	Is there an element expressing existential or locational predication, that is different from the equative or attributive copula? It is possible that there are more than one existential/locational element making further distinctions, temporary versus permanent existence or a special marker for negative existence. Different positional verbs do not count here. The existential/locational marker can be used for the expression of other functions, such as aspect, as long as it is not identical to the copula of identity or attribution.	1		Souag (2010:240, 430-431)		verb, auxiliary	predication, verb classification	specialized construction, phonologically independent item	3	GB126		
Are there positional (classificatory) verbs?	1: present, 0: absent	Is it obligatory to mark position when denoting location, i.e. do you have to say 'the X sits/stands/lies/etc. on the table'? Note that for (1) this needs to be obligatory. This feature concerns inherent lexical properties, not if there is productive morphology to mark position (that is F116).	0		Souag (2010:262)	Not explicitly mentioned; inferred from example.	verb	verb classification, nominal classification, deixis	suppletion, agreement	2	GB127		
Is there a notably small number, i.e. about 100 or less, of verbs in the language?	1: present, 0: absent	This is not always explicitly stated by the descriptive work, but an investigation into texts and wordlists should reveal this.	0		Souag (2010:1-519)		verb	verb classification	paradigm	1	GB129		
What is the pragmatically unmarked order of S and V in intransitive clauses?	multistate 1: SV; 2: VS; 3: both	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	1		Vycichl (2005:449)		clause	predication	word order	4	GB130		
Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	1: present, 0: absent	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	0		Vycichl (2005:449)		clause	predication	word order	3	GB131		
Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	1: present, 0: absent	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	1		Souag (2010:449)		clause	predication	word order	3	GB132		
Is a pragmatically unmarked constituent order verb-final for transitive clauses?	1: present, 0: absent	All questions concerning order of elements aim to capture the pragmatically unmarked order. Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus.	0		Souag (2010:449)		clause	predication	word order	3	GB133		
Is the order of constituents the same in main and subordinate clauses?	1: present, 0: absent	This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this (to a certain extent). There might be asymmetries caused by TAME, negation or certain other markers; make sure you look through many different examples.	1		Souag (2010:390)	Not explicitly mentioned; inferred from example.	sentence, clause	predication, subordination	word order	4	GB134		
Do clausal objects occur in the same position as nominal objects?	1: present, 0: absent	By clausal objects here we mean clauses that are directly governed by a finite verb (typically verbs of 'wanting', 'saying' etc.). In other words, complement subordinate clauses and not relative. The question aims at discerning whether they are treated like prototypical nominal direct objects, not indirect or obliques. This is not always explicitly stated by the descriptive work, but an investigation into the examples and perhaps even appendixed text of the grammar should reveal this. There might be asymmetries caused by TAME, negation or certain other markers, make sure you look through many different examples.	1		Souag (2010:316-318)	Not explicitly mentioned; inferred from examples.	clause	predication, complementation	word order	1	GB135		
Is constituent order fixed?	1: present, 0: absent	If the word order is non-fixed it is definitely not used to distinguish the semantic roles of arguments (opposite is not true though). Do not consider 'left or right-dislocation', accompanied by intonational signals or pragmatically marked constructions such as focus. Word order can be fixed, but not necessarily the same in all context (it could vary with the nature of the subject, TA, etc.).	1		Souag (2010:449)	Exceptional variation is attested, but the general order is SVO.	clause	predication	word order	2	GB136		
Can negation be marked clause-finally?	1: present, 0: absent	"This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood. This includes suffixes on verb-final clauses, but prefixes on clause-final verbs do not count. Do not include elliptical constructions of the kind ""'Pete didn't""."	0		Souag (2010:437-438)		clause, verb, negator	negation	affixation and cliticization, reduplication, word order, conjugation	3	GB137		
Can negation be marked clause-initially?	1: present, 0: absent	This feature refers to Standard Negation, i.e. at least the negation of dynamic verbal predicates in declarative mood. Do not include elliptical constructions of the kind 'Not Mary'.	0		Souag (2010:436); Lameen Souag (p.c. 2023)	The default order in Siwi is SVO, with negation directly preceding the verb. Clause-initial negation only occurs due to argument omission, pragmatically marked VS order or imperative constructions.	clause, verb, negator	negation	affixation and cliticization, reduplication, word order, conjugation	3	GB138		JR
Is there a difference between imperative and declarative negation?	1: present, 0: absent	This feature covers more than only different negators: different order, loss of finiteness or addition of new elements would also suffice. If the analysis of the language-specific researcher results in two different forms for negative imperative and prohibitive, then we are only concerned with the construction that is fulfilling the traditional imperative function for the coding of F139.	1		Souag (2010:438-439)	The negator is the same, but the verb stem changes in the negative imperative.	clause, verb, negator	negation, prohibition, imperative	affixation and cliticization, infixation, agreement, tone, reduplication, suppletion, alternation, case marking, specialized construction, bound person marking, phonologically independent item, word order	4	GB139		
Are verbal and non-verbal predicates marked by the same negator?	1: present, 0: absent	This feature pertains only to the negative marker itself, be it an independent particle, verb, auxiliary, clitic or affix. By non-verbal here we are referring to locational/existential predication, attributive predication and predicate nouns. Negation of possession, capability or knowing are not included. However, it is very likely that languages that have different negation from the standard negator for these functions also make a distinction between locational/existential and standard.	0		Souag (2010:435)		clause, verb, noun, NP, negator	negation	conjugation, declension, phonologically independent item	5	GB140		
Are S and O conflated morphologically in at least some basic constructions, i.e. simple main clauses?	1: present, 0: absent	This question pertains to alignment of core arguments, bound or free. S & O alignment can be described as a kind of ergative-absolutive pattern. The alignment need not concern the entire person paradigm, if there is conflation in only one person this will suffice for a yes (1). If the language has no case marking of core arguments whatsoever there will be a yes (1) in both F141 and F142.	0		Vycichl (2005:1-258)		clause, noun, NP, case marker	argument marking - core	paradigm, declension, case marking	1	GB141		
Are S and A conflated morphologically in at least some basic constructions, i.e. simple main clauses?	1: present, 0: absent	This question pertains to alignment of core arguments, bound or free. S & A alignment can be described as a kind of nominative-accusative pattern. The alignment need not concern the entire person paradigm, if there is conflation in only one person this will suffice for a yes (1). If the language has no case marking of core arguments whatsoever there will be a yes (1) in both F141 and F142.	1		Vycichl (2005:216, 220)	The independent pronouns can only occur in the position of the A or S participant.	clause, noun, NP, case marker	argument marking - core	paradigm, declension, case marking	1	GB142		
Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	1: present, 0: absent	"This marking need not consists of a bound marker on the verb, it encompasses other constructions as well as long as they mark control/voluntariness. This question can be hard to answer negatively with great certainty. Constructions of the kind such as ""sickness hits me"" are included."	0		Souag (2010:1-519)		clause, adjective, verb	argument marking - core	paradigm, conjugation, specialized construction, bound person marking	4	GB146		
Is there a morphologically marked passive construction?	1: present, 0: absent	Is there a marker bound to the verb that encode the derived diatheses in which the agent role is not linked with a subject noun phrase. It is not relevant for this feature whether or not the marking of the agent role in an oblique role is prohibited, i.e. constructions of the kinds found in Finnish and other Uralic languages are also included in passive here.	1		Souag (2010:360)	There is a passive-like anticausative prefix to form the passive.	clause, verb	derivation, valency change	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB147		
Is there a morphologically marked antipassive?	1: present, 0: absent	Is there a marker on the verb that decreases the valency of the verb by omission of (at least) the direct object? In ergative languages this would mean that the ergative agent becomes absolutive, if the marker is applied to a transitive verb.	0		Souag (2010:1-519)		clause, verb	derivation, valency change	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB148		
Is there a morphologically marked inverse?	1: present, 0: absent	"The definition of a direct–inverse language is a matter under research, but it is widely understood to involve different grammar for transitive predicates according to the orders of their ""subject"" and their ""object"" on a person hierarchy, which in turn is some combination of saliency and animacy specific to a given language. The direct construction is the unmarked one. The direct construction is used when the subject of the transitive clause outranks the object in the person hierarchy, and the inverse is used when the object outranks the subject."	0		Souag (2010:1-519)		clause, verb	derivation, valency change	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB149		
Is there clause chaining?	1: present, 0: absent	"Clause-chaining here is not just juxtapositioning of minimal clauses with no connectors, but chains of morphologically stripped-down medial clauses which are dependent on a single clause usually, but not necessarily, final. 
""Clause-Chains (a.k.a Topic Chains, Medial Clauses, etc.) are long series of verbs and verb phrases with incomplete marking (medial clauses) followed by one fully specified verb which provides the missing categories. Only the final verb form may occur freely. Medial verbs are dependent on an independent form."" (Weisser 2013:1)"	0		Souag (2010:1-519)		clause, verb	predication	specialized construction	2	GB150		
Is there a morphologically-marked switch reference system?	1: present, 0: absent	Is there a marker, usually on the verb, that marks if the argument has the same referent as an argument of the following clause.	0		Souag (2010:1-519)		sentence, clause, verb, noun, NP	argument marking - core	affixation and cliticization, infixation, tone, alternation, reduplication	1	GB151		
Is there a morphologically marked distinction between simultaneous and sequential clauses?	1: present, 0: absent	This question is concerned with verbal marking. If sequentially is a secondary function of a imperfective aspect this does not count, it needs to be a devoted marker. The language does not need to express both overtly, one marker devoted to either function will do.	1		Souag (2010:390)		sentence, clause, verb	TAM, sequentiality	conjugation, specialized construction	2	GB152		
Are causatives formed by affixes/clitics?	1: present, 0: absent		1		Souag (2010:359)		verb	causative, valency change, derivation	affixation and cliticization, infixation	2	GB155		
Are causatives formed by constructions involving 'say'?	1: present, 0: absent		0		Souag (2010:359)		verb, serial verb construction	causative, valency change, derivation, predication	specialized construction	1	GB156		
Is there tail-head linkage?	1: present, 0: absent	"Tail-head linkage (THL) is a discourse pattern which consists in repeating, at the beginning of a new sentence, the main verbal root (with or without accompanying material) of the preceding sentence for discourse cohesion. This is a feature that is very striking if the language has it and it should be very evident in at least narratives. Sometimes so called ""Generic THL"" is included in typological surveys of THL, i.e. when the same verbal roots is not repeated but a generic verb (often 'do' or make'). If the language only displays Generic THL then it’s a no (0), it has to be a repetition of the exact same verbal root. Another potentially problematic issue is if the language only displays THL in instructional texts (recipes, rituals etc.). If that is the case, mark it down with a '?' and a comment."	0		Souag (2010:1-519)		sentence, clause, discourse	cohesion	specialized construction	1	GB157		
Are verbs reduplicated?	1: present, 0: absent	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	0		Vycichl (2005:1-258)		verb	number, TAM, derivation	reduplication	4	GB158		
Are nouns reduplicated?	1: present, 0: absent	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	?		Vycichl (2005:in passim); Souag (2013:in passim); Lameen Souag (p.c. 2023)	Not discussed in the sources.	noun	number, augmentative, diminutive, derivation	reduplication	4	GB159		JR
Are elements apart from verbs or nouns reduplicated?	1: present, 0: absent	"The repetition of phonological material within a word for semantic or grammatical purposes is known as reduplication. In order for there to be a (1) here reduplication needs to be a productive pattern. Both full and partial reduplication count, but if there is only partial the language should be coded with a ""?"" and a comment. The outcome of the process is not relevant, it is the part-of-speech of the roots that matter. As for the distinction between reduplication and repetition we follow the definitions used most often in the literature, i.e. basically Gil (2005): repetition is unconstrained by grammar, can take larger units than words, has an iconic interpretation and can result in more than 2 copies. Reduplication on the other hand is constrained by grammar, usually only concerns 2 copies, is a word-internal process and doesn't necessarily have an iconic interpretation. Reduplication is productive pattern, a few examples of repetition of phonological material does not necessarily constitute evidence of reduplication. The reduplicated elements need not be identical with respect to tone."	1		Souag (2010:195)		adjective, other lexeme	derivation, number, TAM	reduplication	4	GB160		
Can trial number be marked on the noun itself?	1: present, 0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	0		Vycichl (2005:198)		noun	number	declension	2	GB165		
Can paucal number be marked on the noun itself?	1: present, 0: absent	This is meant to capture marking on a open set of nouns, not a restricted set. Marking on the entire NP or reduplication is not enough for (1) here. Nouns derived from adjectives or verbs are not relevant here.	0		Vycichl (2005:198)		noun	number	declension	2	GB166		
Are there logophoric pronouns for the 3rd person?	1: present, 0: absent	Is there a pronoun that marks that the subject of a dependent clause is the same as the subject for the matrix clause? NB, this is a matter of 3rd person pronouns.	0		Souag (2010:1-519)		pronoun, discourse	cohesion	paradigm	1	GB167		
Can an attributive nominal modifier denoting a property concept agree with any gender/noun class of the noun it modifies?	1: present, 0: absent	"""Attributive nominal modifier"" is roughly equal to the old term ""adjective""."	1		Vycichl (2005:209)		adjective, NP	nominal classification	declension, agreement	2	GB170		
Can an adnominal demonstrative agree in gender/noun class with the noun it modifies?	1: present, 0: absent	Demonstratives can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number	1		Vycichl (2005:212)		demonstrative, NP	nominal classification	declension, agreement	2	GB171		
Can articles agree with the gender/noun class of the noun they modify?	1: present, 0: absent	Articles can agree in gender/noun class with the head noun even if the head noun is not overtly marked for number	0		Vycichl (2005:196)		article, NP	nominal classification	declension, agreement	3	GB172		
Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument?	1: present, 0: absent	This system needs to be unrelated to the gender/noun class system.	0		Souag (2010:1-519)		verb, classifier	nominal classification	conjugation, agreement	3	GB177		
Can an attributive nominal modifier denoting a property concept agree with the number of the noun it modifies?	1: present, 0: absent	"""Attributive nominal modifier"" is roughly equal to the old term ""adjective""."	1		Vycichl (2005:209)		adjective, NP	number, nominal classification	declension, agreement	2	GB184		
Can an adnominal demonstrative agree in number with the noun it modifies?	1: present, 0: absent	Demonstratives can agree in number with the head noun even if the head noun is not overtly marked for number. NB: This concerns cases where there is a head NP different from the demonstrative. Disregard whenever the demonstrative can function as the head noun in the NP, e.g., if demonstratives function as pronouns.	1		Vycichl (2005:212)		demonstrative, NP	number, nominal classification	declension, agreement	2	GB185		
Can articles agree in number with the noun they modify?	1: present, 0: absent	Articles can agree in number with the head noun even if the head noun is not overtly marked for number	0		Vycichl (2005:196)		article, NP	number, nominal classification	declension, agreement	3	GB186		
Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent	This needs to be a productive pattern. Diminutive function often also entails other meanings, but it needs to minimally encode smaller size.	0		Vycichl (2005:1-258)		noun	derivation, diminutive	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB187		
Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?	1: present, 0: absent	This needs to be a productive pattern. Augmentative function often also entails other meanings, but it needs to minimally encode larger size.	0		Vycichl (2005:1-258)		noun	derivation, augmentative	affixation and cliticization, infixation, tone, alternation, reduplication	2	GB188		
Are the noun's phonological properties relevant for any gender assignment?	1: present, 0: absent	Relevant category here does not have to mean that it's the absolute deciding factor when assigning a noun to a certain gender/NC, but that there is a clear preference for certain nouns to have a certain gender/NC. Phonological properties can be tone, initial consonant etc.	1		Souag (2010:61)	Almost all feminine nouns have the circumfix t-...(-t). Arabic loan words may end in -t and still be masculine.	noun	nominal classification	paradigm	2	GB192		
What is the order of noun and attributive nominal modifier denoting a property concept?	1= ANM - N, 2 = N - ANM, 3 = both, 0 = they cannot be used attributively	"""Attributive nominal modifier"" is roughly equal to the old term ""adjective"", we want to include elements that mark ""adjectival"" function but that might not be described as ""adjectives"", see feature 69."	2		Vycichl (2005:209)		adjective, noun, NP	attribution	word order	3	GB193		
Is there a gender distinction in 2nd person pronouns?	1: present, 0: absent		1		Vycichl (2005:216)		pronoun	pronominal gender	paradigm, declension	1	GB196		
Is there a gender distinction in 1st person pronouns?	1: present, 0: absent		0		Vycichl (2005:216)		pronoun	pronominal gender	paradigm, declension	1	GB197		
Can a numeral used attributively agree with any gender/noun class of the noun it modifies?	1: present, 0: absent		1		Vycichl (2005:213)	Only the numerals for 'one' and 'two' agree in gender.	numeral, NP	nominal classification, quantification	declension, agreement	2	GB198		
"What is the order of the collective universal quantifier (""all"") and the noun?"	0: no UQ, 1: UQ-N, 2: N-UQ, 3: both		2		Souag (2010:196)		quantifier, noun, NP	quantification	word order	2	GB203		
Is there a distinction between collective ('all') and distributive ('every') universal quantifiers?	1: present, 0: absent	This feature pertains both to difference in order and to different markers.	1		Vycichl (2005:223); Souag (2013:124-125); Lameen Souag (p.c. 2023)	Vycichl (2005) glosses 'kul' as 'every/all' which would be accurate for Arabic. According to Souag (2013), 'kul' is used as universal quantifier 'every' and 'nnuba' is used as universal quantifier 'all'.	quantifier, noun, NP	quantification	declension, specialized construction, word order, paradigm	1	GB204		JR
Can predicative possession be formed with a habeo-verb?	1: present, 0: absent	"Is there a verb that expresses predicative possession where the possessor is the subject, the possessum the object and the verb is finite and clearly transitive. The finite element in itself need not be clearly distinct from an existential or locational predicator, the main difference is the argument structure. Transitivity is a language-specific category that needs to be investigated separately to learn whether or not the construction is transitive. In case of languages where transitivity is hard to define it might be beneficial to compare to verbs of ""hold"" and ""grasp"". It is very likely that habeo-verb constructions arise from possessive constructions where the possessor is expressed as a topic (see feature 255)."	0		Souag (2010:236); Lameen Souag (p.c. 2023)		verb,  auxiliary	predicative possession, predication	specialized construction, phonologically independent item	2	GB250		JR
Can predicative possession be formed with a locative possessive?	1: present, 0: absent	"Locative possessive means a construction where the possessum is the subject of an existential/locative predicate and the possessor is in an oblique form marked by an element meaning ""at/in/on"" (i.e. ""a car is on me"") or the locational function is marked on the verb. The possessor-NP need not be overtly marked for location, it can be expressed in the verb itself, i.e. dependent versus head-marking is irrelevant."	0		Souag (2010:236); Lameen Souag (p.c. 2023)		verb, auxiliary, bound person form, adposition, case marker	predicative possession, argument marking - oblique, predication	affixation and cliticization, case marking, bound person marking, phonologically independent item, specialized construction, declension, conjugation	1	GB252		JR
Can predicative possession be formed with a dative possessive?	1: present, 0: absent	"Is the possessum the subject of an existential predicative and the possessor in an oblique form marked by an element meaning ""to/for"" (i.e. ""a car is to me""). The possessor-NP need not be overtly marked for dative case, it can be expressed in the verb itself, i.e. dependent versus head-marking is irrelevant."	1		Souag (2010:236); Lameen Souag (p.c. 2023)		verb, auxiliary, bound person form, adposition, case marker	predicative possession, argument marking - oblique, predication	affixation and cliticization, case marking, bound person marking, phonologically independent item, specialized construction, declension, conjugation	1	GB253		JR
Can predicative possession be formed with a genitive possessive?	1: present, 0: absent	"The possessum is the subject, there is no locational or dative marking of the possessor. The possessor may be construed as a modifier of the possessum (i.e. ""my car exists"")."	0		Souag (2010:236); Lameen Souag (p.c. 2023)		verb, auxiliary, bound person form, adposition, case marker	predicative possession, attributive possession, predication, attribution	affixation and cliticization, case marking, bound person marking, phonologically independent item, specialized construction, declension, conjugation	1	GB254		JR
Can predicative possession be formed with a topic possessive?	1: present, 0: absent	"The possessum is the subject and the possessor is marked as topic (i.e. ""concerning me, there is a car""). The Topic Possessive shares with the Locative and the Genitive Possessive the characteristic that the possessed NP is construed as the grammatical subject of the existential predicate. The distinguishing feature of the Topic Possessive lies in the encoding of the possessor NP, which is construed as the topic of the sentence."	0		Souag (2010:236); Lameen Souag (p.c. 2023)		verb, auxiliary, bound person form, adposition, case marker	predicative possession, topic marking, predication	affixation and cliticization, case marking, bound person marking, phonologically independent item, specialized construction, declension, conjugation	1	GB255		JR
